(0, 0, 0, [99, 9, 99, 1, 0])
(0, 12, 3, [99, 9, 9, 4, 3])
(0, 66, 0, [99, 1, 9, 1, 0])
(0, 92, 1, [99, 9, 2, 9, 1])
(1, 19, 3, [6, 6, 4, 4, 3])
(1, 31, 0, [3, 1, 1, 1, 0])
(1, 60, 3, [6, 4, 4, 4, 3])
(1, 74, 1, [2, 9, 9, 9, 1])
(1, 84, 0, [1, 9, 1, 9, 0])
(2, 53, 3, [6, 4, 9, 4, 3])
(2, 99, 1, [2, 2, 2, 99, 1])
(3, 48, 3, [4, 6, 4, 4, 3])
(4, 7, 0, [1, 1, 3, 1, 0])
(4, 23, 2, [9, 3, 9, 3, 2])
(4, 40, 0, [1, 6, 2, 1, 0])
(5, 0, 4, [5, 5, 99, 9, 4])
(5, 33, 3, [4, 9, 9, 9, 3])
(5, 68, 0, [3, 9, 1, 1, 0])
(6, 57, 3, [4, 9, 4, 9, 3])
(7, 17, 1, [4, 9, 2, 9, 1])
(7, 27, 0, [9, 1, 9, 1, 0])
(7, 49, 2, [9, 3, 3, 9, 2])
(7, 88, 0, [1, 1, 1, 1, 0])
(8, 78, 0, [1, 5, 3, 1, 0])
(9, 63, 1, [4, 4, 2, 2, 1])
(9, 96, 1, [4, 2, 2, 2, 1])
(10, 20, 4, [5, 5, 5, 5, 4])
(10, 69, 1, [9, 9, 9, 2, 1])
(11, 8, 3, [4, 9, 9, 4, 3])
(11, 33, 0, [1, 3, 1, 1, 0])
(12, 80, 1, [2, 2, 2, 2, 1])
(13, 2, 0, [1, 3, 1, 1, 0])
(13, 14, 4, [7, 7, 5, 6, 4])
(13, 25, 2, [9, 4, 3, 9, 2])
(13, 54, 4, [5, 5, 5, 7, 4])
(14, 8, 4, [5, 9, 9, 9, 4])
(14, 41, 0, [3, 3, 1, 1, 0])
(14, 75, 2, [3, 5, 3, 3, 2])
(14, 91, 1, [9, 9, 9, 3, 1])
(15, 48, 3, [4, 4, 4, 4, 3])
(15, 60, 0, [1, 9, 1, 9, 0])
(15, 85, 4, [5, 9, 9, 9, 4])
(16, 34, 2, [9, 9, 9, 4, 2])
(16, 97, 6, [7, 7, 8, 7, 6])
(17, 15, 0, [3, 9, 9, 1, 0])
(18, 71, 1, [9, 2, 9, 9, 1])
(19, 11, 2, [3, 3, 3, 3, 2])
