 🗙	[10, 11, 13, 16, 15] | direction [changes], status [False]
 🗙	[3, 6, 9, 10, 11, 12, 12] | direction [changes], status [False]
 🔺	[43, 46, 49, 52, 54, 58] | direction [up], status [False]
 🔺	[59, 60, 61, 63, 65, 68, 75] | direction [up], status [False]
 🗙	[60, 62, 63, 65, 63, 66, 69, 71] | direction [changes], status [False]
 🗙	[80, 83, 85, 88, 85, 87, 84] | direction [changes], status [False]
 🗙	[30, 31, 32, 31, 33, 33] | direction [changes], status [False]
 🗙	[9, 11, 14, 12, 16] | direction [changes], status [False]
 🗙	[38, 39, 40, 43, 42, 45, 50] | direction [changes], status [False]
 🗙	[58, 61, 63, 63, 66] | direction [changes], status [False]
 🗙	[15, 17, 18, 20, 20, 21, 23, 21] | direction [changes], status [False]
 🗙	[17, 19, 22, 24, 25, 25, 28, 28] | direction [changes], status [False]
 🗙	[60, 63, 66, 67, 67, 69, 73] | direction [changes], status [False]
 🗙	[42, 44, 44, 45, 52] | direction [changes], status [False]
 🔺	[22, 23, 27, 30, 32, 34] | direction [up], status [False]
 🗙	[22, 23, 25, 26, 28, 31, 35, 33] | direction [changes], status [False]
 🗙	[11, 14, 16, 19, 22, 26, 26] | direction [changes], status [False]
 🔺	[38, 41, 44, 48, 52] | direction [up], status [False]
 🔺	[15, 17, 21, 24, 26, 33] | direction [up], status [False]
 🔺	[50, 51, 54, 61, 62, 65, 68] | direction [up], status [False]
 🗙	[37, 40, 42, 44, 49, 50, 47] | direction [changes], status [False]
 🗙	[6, 7, 8, 14, 14] | direction [changes], status [False]
 🔺	[17, 20, 25, 27, 31] | direction [up], status [False]
 🔺	[68, 69, 70, 73, 76, 81, 87] | direction [up], status [False]
 🗙	[83, 81, 82, 83, 85, 87, 90, 92] | direction [changes], status [False]
 🗙	[52, 51, 54, 56, 58, 57] | direction [changes], status [False]
 🗙	[93, 90, 91, 92, 92] | direction [changes], status [False]
 🗙	[12, 9, 10, 12, 14, 15, 16, 20] | direction [changes], status [False]
 🗙	[26, 24, 26, 27, 33] | direction [changes], status [False]
 🗙	[17, 15, 14, 17, 19] | direction [changes], status [False]
 🗙	[99, 96, 97, 96, 97, 99, 98] | direction [changes], status [False]
 🗙	[9, 7, 5, 8, 8] | direction [changes], status [False]
 🗙	[59, 58, 61, 63, 62, 64, 68] | direction [changes], status [False]
 🗙	[24, 23, 25, 28, 26, 28, 35] | direction [changes], status [False]
 🗙	[93, 90, 92, 94, 94, 95] | direction [changes], status [False]
 🗙	[72, 69, 72, 73, 76, 77, 77, 75] | direction [changes], status [False]
 🗙	[46, 45, 47, 47, 49, 49] | direction [changes], status [False]
 🗙	[61, 60, 63, 64, 64, 66, 70] | direction [changes], status [False]
 🗙	[35, 32, 35, 36, 37, 37, 40, 47] | direction [changes], status [False]
 🗙	[6, 3, 6, 9, 13, 15, 16] | direction [changes], status [False]
 🗙	[29, 28, 31, 33, 35, 36, 40, 38] | direction [changes], status [False]
 🗙	[22, 21, 25, 26, 26] | direction [changes], status [False]
 🗙	[51, 50, 51, 54, 58, 60, 64] | direction [changes], status [False]
 🗙	[83, 82, 86, 88, 95] | direction [changes], status [False]
 🗙	[79, 76, 83, 86, 89] | direction [changes], status [False]
 🗙	[19, 17, 23, 25, 26, 25] | direction [changes], status [False]
 🗙	[19, 18, 21, 28, 30, 31, 31] | direction [changes], status [False]
 🗙	[72, 70, 72, 73, 74, 77, 82, 86] | direction [changes], status [False]
 🗙	[40, 39, 40, 47, 53] | direction [changes], status [False]
 🗙	[7, 7, 9, 12, 15, 18, 19] | direction [changes], status [False]
 🗙	[57, 57, 59, 62, 63, 65, 63] | direction [changes], status [False]
 🗙	[57, 57, 59, 62, 65, 66, 66] | direction [changes], status [False]
 🗙	[26, 26, 29, 31, 33, 34, 38] | direction [changes], status [False]
 🗙	[44, 44, 47, 50, 52, 59] | direction [changes], status [False]
 🗙	[19, 19, 21, 20, 22, 25, 27] | direction [changes], status [False]
 🗙	[76, 76, 79, 77, 74] | direction [changes], status [False]
 🗙	[61, 61, 64, 63, 65, 65] | direction [changes], status [False]
 🗙	[80, 80, 81, 83, 85, 83, 87] | direction [changes], status [False]
 🗙	[63, 63, 66, 67, 65, 71] | direction [changes], status [False]
 🗙	[48, 48, 48, 50, 51, 53, 56, 58] | direction [changes], status [False]
 🗙	[17, 17, 17, 18, 17] | direction [changes], status [False]
 🗙	[66, 66, 68, 68, 68] | direction [changes], status [False]
 🗙	[78, 78, 79, 79, 83] | direction [changes], status [False]
 🗙	[1, 1, 3, 4, 7, 8, 8, 13] | direction [changes], status [False]
 🗙	[14, 14, 18, 20, 21] | direction [changes], status [False]
 🗙	[22, 22, 25, 27, 31, 28] | direction [changes], status [False]
 🗙	[32, 32, 34, 38, 38] | direction [changes], status [False]
 🗙	[49, 49, 51, 52, 54, 56, 60, 64] | direction [changes], status [False]
 🗙	[85, 85, 89, 91, 93, 94, 99] | direction [changes], status [False]
 🗙	[28, 28, 29, 30, 35, 38, 39] | direction [changes], status [False]
 🗙	[10, 10, 11, 18, 20, 22, 25, 24] | direction [changes], status [False]
 🗙	[87, 87, 90, 96, 96] | direction [changes], status [False]
 🗙	[47, 47, 48, 51, 58, 62] | direction [changes], status [False]
 🗙	[7, 7, 8, 9, 11, 12, 18, 25] | direction [changes], status [False]
 🔺	[70, 74, 75, 77, 79, 82] | direction [up], status [False]
 🗙	[27, 31, 32, 33, 34, 35, 37, 34] | direction [changes], status [False]
 🗙	[45, 49, 52, 55, 57, 60, 62, 62] | direction [changes], status [False]
 🔺	[39, 43, 44, 47, 50, 51, 55] | direction [up], status [False]
 🔺	[42, 46, 49, 50, 53, 54, 59] | direction [up], status [False]
 🗙	[5, 9, 12, 10, 12] | direction [changes], status [False]
 🗙	[69, 73, 74, 73, 74, 75, 72] | direction [changes], status [False]
 🗙	[76, 80, 82, 84, 81, 84, 84] | direction [changes], status [False]
 🗙	[29, 33, 31, 33, 35, 39] | direction [changes], status [False]
 🗙	[49, 53, 54, 55, 56, 57, 54, 59] | direction [changes], status [False]
 🗙	[42, 46, 46, 47, 50, 52] | direction [changes], status [False]
 🗙	[65, 69, 69, 72, 70] | direction [changes], status [False]
 🗙	[72, 76, 76, 78, 80, 82, 83, 83] | direction [changes], status [False]
 🗙	[45, 49, 52, 53, 53, 57] | direction [changes], status [False]
 🗙	[37, 41, 42, 45, 45, 50] | direction [changes], status [False]
 🔺	[56, 60, 62, 63, 67, 68] | direction [up], status [False]
 🗙	[35, 39, 40, 43, 46, 49, 53, 51] | direction [changes], status [False]
 🗙	[7, 11, 15, 17, 20, 21, 24, 24] | direction [changes], status [False]
 🔺	[2, 6, 7, 9, 13, 17] | direction [up], status [False]
 🔺	[43, 47, 50, 52, 56, 59, 64] | direction [up], status [False]
 🔺	[12, 16, 19, 22, 28, 30, 33] | direction [up], status [False]
 🗙	[43, 47, 48, 53, 54, 57, 55] | direction [changes], status [False]
 🗙	[83, 87, 88, 95, 95] | direction [changes], status [False]
 🔺	[57, 61, 63, 64, 66, 73, 75, 79] | direction [up], status [False]
 🔺	[57, 61, 64, 69, 71, 76] | direction [up], status [False]
 🔺	[86, 93, 95, 96, 97, 99] | direction [up], status [False]
 🗙	[30, 35, 37, 39, 38] | direction [changes], status [False]
 🗙	[11, 17, 19, 20, 20] | direction [changes], status [False]
 🔺	[20, 26, 29, 32, 36] | direction [up], status [False]
 🔺	[68, 73, 74, 77, 80, 87] | direction [up], status [False]
 🗙	[37, 42, 44, 43, 46, 49, 50, 51] | direction [changes], status [False]
 🗙	[48, 55, 58, 56, 57, 58, 57] | direction [changes], status [False]
 🗙	[36, 42, 39, 42, 43, 44, 44] | direction [changes], status [False]
 🗙	[20, 25, 28, 25, 27, 29, 31, 35] | direction [changes], status [False]
 🗙	[14, 20, 23, 21, 22, 23, 25, 32] | direction [changes], status [False]
 🗙	[77, 82, 83, 83, 84, 86, 88, 91] | direction [changes], status [False]
 🗙	[30, 36, 37, 40, 40, 42, 43, 42] | direction [changes], status [False]
 🗙	[15, 21, 22, 25, 27, 27, 28, 28] | direction [changes], status [False]
 🗙	[46, 52, 55, 55, 56, 58, 62] | direction [changes], status [False]
 🗙	[15, 22, 23, 23, 24, 27, 34] | direction [changes], status [False]
 🔺	[22, 29, 30, 34, 37] | direction [up], status [False]
 🗙	[5, 11, 14, 18, 20, 18] | direction [changes], status [False]
 🗙	[7, 12, 16, 18, 21, 22, 22] | direction [changes], status [False]
 🔺	[39, 45, 47, 51, 54, 56, 58, 62] | direction [up], status [False]
 🔺	[57, 63, 67, 70, 71, 76] | direction [up], status [False]
 🔺	[72, 79, 84, 86, 87, 90] | direction [up], status [False]
 🗙	[80, 85, 92, 93, 96, 93] | direction [changes], status [False]
 🗙	[72, 78, 83, 84, 84] | direction [changes], status [False]
 🔺	[46, 52, 55, 57, 58, 64, 68] | direction [up], status [False]
 🔺	[69, 75, 78, 80, 87, 93] | direction [up], status [False]
 🗙	[89, 88, 85, 82, 80, 77, 74, 75] | direction [changes], status [False]
 🗙	[14, 13, 11, 9, 8, 5, 2, 2] | direction [changes], status [False]
 🔻	[93, 91, 88, 86, 83, 79] | direction [down], status [False]
 🔻	[39, 37, 35, 34, 32, 30, 28, 21] | direction [down], status [False]
 🗙	[52, 51, 52, 49, 47, 45] | direction [changes], status [False]
 🗙	[96, 95, 94, 93, 90, 88, 91, 93] | direction [changes], status [False]
