match | center (  1,   1) | [["M", "M", "S"], ["M", "A", "S"], ["M", "M", "S"]]
match | center (  1,  11) | [["S", "M", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center (  1,  14) | [["M", "X", "M"], ["M", "A", "S"], ["S", "M", "S"]]
match | center (  1,  41) | [["M", "A", "M"], ["X", "A", "S"], ["S", "X", "S"]]
match | center (  1,  59) | [["S", "S", "M"], ["S", "A", "M"], ["S", "X", "M"]]
match | center (  1,  62) | [["M", "X", "S"], ["X", "A", "S"], ["M", "M", "S"]]
match | center (  1,  64) | [["S", "A", "M"], ["S", "A", "S"], ["S", "A", "M"]]
match | center (  1,  88) | [["M", "S", "M"], ["A", "A", "M"], ["S", "A", "S"]]
match | center (  1, 107) | [["M", "M", "S"], ["X", "A", "A"], ["M", "M", "S"]]
match | center (  1, 111) | [["S", "X", "S"], ["X", "A", "X"], ["M", "X", "M"]]
match | center (  1, 116) | [["M", "X", "M"], ["S", "A", "M"], ["S", "A", "S"]]
match | center (  1, 131) | [["S", "A", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center (  2,   4) | [["M", "M", "S"], ["M", "A", "S"], ["M", "X", "S"]]
match | center (  2,   8) | [["M", "A", "M"], ["S", "A", "M"], ["S", "A", "S"]]
match | center (  2,  16) | [["S", "X", "M"], ["S", "A", "A"], ["S", "M", "M"]]
match | center (  2,  33) | [["M", "X", "M"], ["X", "A", "S"], ["S", "X", "S"]]
match | center (  2,  43) | [["S", "X", "S"], ["S", "A", "A"], ["M", "M", "M"]]
match | center (  2,  51) | [["M", "A", "M"], ["A", "A", "M"], ["S", "X", "S"]]
match | center (  2,  64) | [["S", "A", "S"], ["S", "A", "M"], ["M", "A", "M"]]
match | center (  2,  66) | [["S", "A", "S"], ["M", "A", "S"], ["M", "S", "M"]]
match | center (  2,  70) | [["S", "S", "M"], ["A", "A", "X"], ["S", "M", "M"]]
match | center (  2,  73) | [["M", "A", "S"], ["M", "A", "X"], ["M", "M", "S"]]
match | center (  2,  79) | [["S", "M", "S"], ["S", "A", "A"], ["M", "S", "M"]]
match | center (  2,  91) | [["M", "M", "S"], ["A", "A", "A"], ["M", "M", "S"]]
match | center (  2,  93) | [["S", "M", "M"], ["A", "A", "X"], ["S", "S", "M"]]
match | center (  2, 100) | [["S", "A", "S"], ["A", "A", "M"], ["M", "X", "M"]]
