Vector(row=43, col=79, direction='up')
Vector(row=42, col=79, direction='up')
Vector(row=41, col=79, direction='up')
Vector(row=40, col=79, direction='up')
Vector(row=39, col=79, direction='up')
Vector(row=38, col=79, direction='up')
Vector(row=37, col=79, direction='up')
Vector(row=36, col=79, direction='up')
Vector(row=35, col=79, direction='up')
Vector(row=34, col=79, direction='up')
Vector(row=33, col=79, direction='up')
Vector(row=32, col=79, direction='up')
Vector(row=31, col=79, direction='up')
Vector(row=30, col=79, direction='up')
Vector(row=29, col=79, direction='up')
Vector(row=28, col=79, direction='up')
Vector(row=27, col=79, direction='up')
Vector(row=26, col=79, direction='up')
Vector(row=25, col=79, direction='up')
Vector(row=24, col=79, direction='up')
Vector(row=23, col=79, direction='up')
Vector(row=22, col=79, direction='up')
Vector(row=21, col=79, direction='up')
Vector(row=20, col=79, direction='up')
Vector(row=19, col=79, direction='up')
Vector(row=18, col=79, direction='up')
Vector(row=17, col=79, direction='up')
Vector(row=16, col=79, direction='up')
Vector(row=16, col=79, direction='right')
Vector(row=16, col=80, direction='right')
Vector(row=16, col=81, direction='right')
Vector(row=16, col=82, direction='right')
Vector(row=16, col=83, direction='right')
Vector(row=16, col=84, direction='right')
Vector(row=16, col=85, direction='right')
Vector(row=16, col=86, direction='right')
Vector(row=16, col=87, direction='right')
Vector(row=16, col=88, direction='right')
Vector(row=16, col=89, direction='right')
Vector(row=16, col=90, direction='right')
Vector(row=16, col=91, direction='right')
Vector(row=16, col=92, direction='right')
Vector(row=16, col=93, direction='right')
Vector(row=16, col=94, direction='right')
Vector(row=16, col=95, direction='right')
Vector(row=16, col=96, direction='right')
Vector(row=16, col=97, direction='right')
Vector(row=16, col=98, direction='right')
Vector(row=16, col=99, direction='right')
Vector(row=16, col=100, direction='right')
Vector(row=16, col=101, direction='right')
Vector(row=16, col=102, direction='right')
Vector(row=16, col=103, direction='right')
Vector(row=16, col=104, direction='right')
Vector(row=16, col=105, direction='right')
Vector(row=16, col=105, direction='down')
Vector(row=17, col=105, direction='down')
Vector(row=18, col=105, direction='down')
Vector(row=19, col=105, direction='down')
Vector(row=20, col=105, direction='down')
Vector(row=21, col=105, direction='down')
Vector(row=22, col=105, direction='down')
Vector(row=23, col=105, direction='down')
Vector(row=24, col=105, direction='down')
Vector(row=25, col=105, direction='down')
Vector(row=26, col=105, direction='down')
Vector(row=27, col=105, direction='down')
Vector(row=28, col=105, direction='down')
Vector(row=29, col=105, direction='down')
Vector(row=30, col=105, direction='down')
Vector(row=31, col=105, direction='down')
Vector(row=32, col=105, direction='down')
Vector(row=33, col=105, direction='down')
Vector(row=34, col=105, direction='down')
Vector(row=35, col=105, direction='down')
Vector(row=36, col=105, direction='down')
Vector(row=37, col=105, direction='down')
Vector(row=38, col=105, direction='down')
Vector(row=39, col=105, direction='down')
Vector(row=40, col=105, direction='down')
Vector(row=41, col=105, direction='down')
Vector(row=42, col=105, direction='down')
Vector(row=43, col=105, direction='down')
Vector(row=44, col=105, direction='down')
Vector(row=45, col=105, direction='down')
Vector(row=46, col=105, direction='down')
Vector(row=47, col=105, direction='down')
Vector(row=48, col=105, direction='down')
Vector(row=49, col=105, direction='down')
Vector(row=50, col=105, direction='down')
Vector(row=51, col=105, direction='down')
Vector(row=52, col=105, direction='down')
Vector(row=53, col=105, direction='down')
Vector(row=53, col=105, direction='left')
Vector(row=53, col=104, direction='left')
Vector(row=53, col=103, direction='left')
Vector(row=53, col=102, direction='left')
Vector(row=53, col=101, direction='left')
Vector(row=53, col=100, direction='left')
Vector(row=53, col=99, direction='left')
Vector(row=53, col=98, direction='left')
Vector(row=53, col=97, direction='left')
Vector(row=53, col=96, direction='left')
Vector(row=53, col=95, direction='left')
Vector(row=53, col=94, direction='left')
Vector(row=53, col=93, direction='left')
Vector(row=53, col=92, direction='left')
Vector(row=53, col=91, direction='left')
Vector(row=53, col=90, direction='left')
Vector(row=53, col=89, direction='left')
Vector(row=53, col=88, direction='left')
Vector(row=53, col=87, direction='left')
Vector(row=53, col=86, direction='left')
Vector(row=53, col=85, direction='left')
Vector(row=53, col=84, direction='left')
Vector(row=53, col=83, direction='left')
Vector(row=53, col=82, direction='left')
Vector(row=53, col=81, direction='left')
Vector(row=53, col=80, direction='left')
Vector(row=53, col=79, direction='left')
Vector(row=53, col=78, direction='left')
Vector(row=53, col=77, direction='left')
Vector(row=53, col=76, direction='left')
Vector(row=53, col=75, direction='left')
Vector(row=53, col=74, direction='left')
Vector(row=53, col=73, direction='left')
Vector(row=53, col=72, direction='left')
Vector(row=53, col=71, direction='left')
Vector(row=53, col=70, direction='left')
Vector(row=53, col=69, direction='left')
Vector(row=53, col=68, direction='left')
Vector(row=53, col=68, direction='up')
Vector(row=52, col=68, direction='up')
Vector(row=51, col=68, direction='up')
Vector(row=50, col=68, direction='up')
Vector(row=49, col=68, direction='up')
Vector(row=48, col=68, direction='up')
Vector(row=47, col=68, direction='up')
Vector(row=46, col=68, direction='up')
Vector(row=45, col=68, direction='up')
Vector(row=44, col=68, direction='up')
Vector(row=43, col=68, direction='up')
Vector(row=42, col=68, direction='up')
Vector(row=41, col=68, direction='up')
Vector(row=40, col=68, direction='up')
Vector(row=39, col=68, direction='up')
Vector(row=38, col=68, direction='up')
Vector(row=37, col=68, direction='up')
Vector(row=36, col=68, direction='up')
Vector(row=35, col=68, direction='up')
Vector(row=34, col=68, direction='up')
Vector(row=33, col=68, direction='up')
Vector(row=32, col=68, direction='up')
Vector(row=31, col=68, direction='up')
Vector(row=30, col=68, direction='up')
Vector(row=29, col=68, direction='up')
Vector(row=28, col=68, direction='up')
Vector(row=27, col=68, direction='up')
Vector(row=27, col=68, direction='right')
Vector(row=27, col=69, direction='right')
Vector(row=27, col=70, direction='right')
Vector(row=27, col=71, direction='right')
Vector(row=27, col=72, direction='right')
Vector(row=27, col=73, direction='right')
Vector(row=27, col=74, direction='right')
Vector(row=27, col=75, direction='right')
Vector(row=27, col=76, direction='right')
Vector(row=27, col=77, direction='right')
Vector(row=27, col=78, direction='right')
Vector(row=27, col=79, direction='right')
Vector(row=27, col=80, direction='right')
Vector(row=27, col=81, direction='right')
Vector(row=27, col=82, direction='right')
Vector(row=27, col=83, direction='right')
Vector(row=27, col=84, direction='right')
Vector(row=27, col=85, direction='right')
Vector(row=27, col=86, direction='right')
Vector(row=27, col=87, direction='right')
Vector(row=27, col=88, direction='right')
Vector(row=27, col=89, direction='right')
Vector(row=27, col=90, direction='right')
Vector(row=27, col=91, direction='right')
Vector(row=27, col=92, direction='right')
Vector(row=27, col=93, direction='right')
Vector(row=27, col=94, direction='right')
Vector(row=27, col=94, direction='down')
Vector(row=28, col=94, direction='down')
Vector(row=29, col=94, direction='down')
Vector(row=30, col=94, direction='down')
Vector(row=31, col=94, direction='down')
Vector(row=32, col=94, direction='down')
Vector(row=33, col=94, direction='down')
Vector(row=34, col=94, direction='down')
Vector(row=35, col=94, direction='down')
Vector(row=36, col=94, direction='down')
Vector(row=37, col=94, direction='down')
Vector(row=38, col=94, direction='down')
Vector(row=39, col=94, direction='down')
Vector(row=40, col=94, direction='down')
Vector(row=41, col=94, direction='down')
Vector(row=42, col=94, direction='down')
Vector(row=43, col=94, direction='down')
Vector(row=44, col=94, direction='down')
Vector(row=45, col=94, direction='down')
Vector(row=46, col=94, direction='down')
Vector(row=47, col=94, direction='down')
Vector(row=48, col=94, direction='down')
Vector(row=49, col=94, direction='down')
Vector(row=50, col=94, direction='down')
Vector(row=51, col=94, direction='down')
Vector(row=52, col=94, direction='down')
Vector(row=53, col=94, direction='down')
Vector(row=54, col=94, direction='down')
Vector(row=55, col=94, direction='down')
Vector(row=56, col=94, direction='down')
Vector(row=56, col=94, direction='left')
Vector(row=56, col=93, direction='left')
Vector(row=56, col=92, direction='left')
